_id,Neighborhood,Sector #,Pop. 1940,Pop. 1950,Pop. 1960,Pop. 1970,Pop. 1980,Pop. 1990,Pop. 2000,Pop. 2010,"% Pop. Change, 60-70","% Pop. Change, 70-80","% Pop. Change, 80-90","% Pop. Change, 90-00","% Pop. Change, 00-10",Pop. as % of City total (2010),Land Area (sq. mi),Land Area (acres),Persons / sq. mi (2010),Persons / sq. mi (2000),Persons / acre (2010),Persons / acre (2000),% African American (2010),% Asian (2010),% Other (2010),% White (2010),% 2+ Races (2010),% Hispanic (of any race) (2010),% Pop. Age < 5 (2010),% Pop. Age 5-19 (2010),% Pop. Age 20-34 (2010),% Pop. Age 35-59 (2010),% Pop. Age 60-74 (2010),% Pop. Age > 75 (2010)
30,Elliott,4,6814,6340,5622,4841,3832,3104,2954,2381,-0.1389185343294200014607753246309584937989711761474609375,-0.2084280107415819871530260343206464312970638275146484375,-0.1899791231732780028007567807435407303273677825927734375,-0.048324742268041002979384046511768247000873088836669921875,-0.1939742721733239971815265789700788445770740509033203125,0.00778857980268500039999768347342978813685476779937744140625,0.60599999999999998312461002569762058556079864501953125,387.83999999999997498889570124447345733642578125,3929.04290429043021504185162484645843505859375,4874.587458745880212518386542797088623046875,6.13912953795380023080952014424838125705718994140625,7.616542904290430016089885612018406391143798828125,0.29567408651826998511324973151204176247119903564453125,0.00671986560268800041384462673477173666469752788543701171875,0.0092398152036959994848341892748067039065062999725341796875,0.6551868962620750469483255074010230600833892822265625,0.033200000000000000344169137633798527531325817108154296875,0.01600000000000000033306690738754696212708950042724609375,0.01529999999999999936439731840209788060747087001800537109375,0.3164000000000000145661260830820538103580474853515625,0.068599999999999994315658113919198513031005859375,0.42220000000000001971756091734278015792369842529296875,0.09790000000000000091038288019262836314737796783447265625,0.07950000000000000122124532708767219446599483489990234375
31,Esplen,4,1708,1624,1325,1073,782,599,495,301,-0.190188679245282987739784630321082659065723419189453125,-0.271202236719478018134310559617006219923496246337890625,-0.234015345268542007683976180487661622464656829833984375,-0.173622704507511993465840305361780337989330291748046875,-0.3919191919191920003839868513750843703746795654296875,0.00098461256640400003463386990887329375254921615123748779296875,0.2300000000000000099920072216264088638126850128173828125,147.19999999999998863131622783839702606201171875,1308.695652173910048077232204377651214599609375,2152.1739130434798425994813442230224609375,2.0448369565217401344625614001415669918060302734375,3.36277173913043014863433199934661388397216796875,0.299003322259136006255886286453460343182086944580078125,0.006644518272425000392222838030420462018810212612152099609375,0.0232558139534880005394601454327130340971052646636962890625,0.6511627906976740209898935063392855226993560791015625,0.0199000000000000010214051826551440171897411346435546875,0.01299999999999999940325512426397835952229797840118408203125,0.1489000000000000045741188614556449465453624725341796875,0.1565000000000000002220446049250313080847263336181640625,0.07249999999999999500399638918679556809365749359130859375,0.473299999999999998490096686509787105023860931396484375,0.1489000000000000045741188614556449465453624725341796875,0
32,Fairywood,4,1324,4491,3819,3240,3008,2951,1099,1002,-0.1516103692065990105053430170300998724997043609619140625,-0.0716049382716049953589987353552714921534061431884765625,-0.0189494680851059991988361019821240915916860103607177734375,-0.62758386987461900474727372056804597377777099609375,-0.08826205641492300413286642424282035790383815765380859375,0.0032776803705550001423463246652545421966351568698883056640625,0.96899999999999997246646898929611779749393463134765625,620.1599999999999681676854379475116729736328125,1034.05572755418006636318750679492950439453125,1134.1589267285899040871299803256988525390625,1.61571207430340990640615927986800670623779296875,1.7721233230134199043703802090021781623363494873046875,0.28343313373253498088644164454308338463306427001953125,0.0179640718562870012331433855479190242476761341094970703125,0.0209580838323349984142485169513747678138315677642822265625,0.62874251497005995137357103885733522474765777587890625,0.048899999999999999023003738329862244427204132080078125,0.04800000000000000099920072216264088638126850128173828125,0.122499999999999997779553950749686919152736663818359375,0.237499999999999988897769753748434595763683319091796875,0.20250000000000001332267629550187848508358001708984375,0.25,0.1875,0
33,Fineview,3,4192,4997,4305,3463,2398,1907,1751,1285,-0.1955865272938439869410132132543367333710193634033203125,-0.30753681778804498048174309587921015918254852294921875,-0.204753961634696002303002160260803066194057464599609375,-0.08180388044048199358559969596171868033707141876220703125,-0.266133637921187993224947376802447251975536346435546875,0.00420341245125999997400700891603264608420431613922119140625,0.25,160,5140,7004,8.03125,10.9437499999999996447286321199499070644378662109375,0.51750972762645897073952028222265653312206268310546875,0.0007782101167320000338623042779317984241060912609100341796875,0.0101167315175100004653874208315755822695791721343994140625,0.4428015564202330001108975920942611992359161376953125,0.028799999999999999211741652516138856299221515655517578125,0.0189999999999999995281552145343084703199565410614013671875,0.1232000000000000039523939676655572839081287384033203125,0.1544999999999999984456877655247808434069156646728515625,0.201100000000000000976996261670137755572795867919921875,0.315199999999999980193621240687207318842411041259765625,0.1635000000000000064392935428259079344570636749267578125,0.042400000000000000188737914186276611872017383575439453125
34,Friendship,12,2357,2852,2362,2136,2148,1976,1791,1785,-0.09568162574089800198606781123089604079723358154296875,0.00561797752809000024154517660690544289536774158477783203125,-0.0800744878957170003186405438100337050855159759521484375,-0.0936234817813760000770884062148979865014553070068359375,-0.00335008375209400015293237373725787620060145854949951171875,0.005838981498442999580611445509248369489796459674835205078125,0.10599999999999999700239783351207734085619449615478515625,67.840000000000003410605131648480892181396484375,16839.62264150939881801605224609375,16896.2264150943010463379323482513427734375,26.3119103773585010230817715637385845184326171875,26.400353773584900096693672821857035160064697265625,0.202801120448178995303578631137497723102569580078125,0.1266106442577029922436082642889232374727725982666015625,0.0201680672268910003708253242393766413442790508270263671875,0.62745098039215696505976893604383803904056549072265625,0.022999999999999999611421941381195210851728916168212890625,0.04299999999999999655830862366201472468674182891845703125,0.036999999999999998168132009368491708301007747650146484375,0.0745999999999999996447286321199499070644378662109375,0.50129999999999996784794120685546658933162689208984375,0.2662999999999999811706175023573450744152069091796875,0.080199999999999993516297536189085803925991058349609375,0.04070000000000000006661338147750939242541790008544921875
35,Garfield,12,11133,11283,9455,10246,7536,6327,5450,3675,0.08365943945002600468097142538681509904563426971435546875,-0.264493460862775975339644674022565595805644989013671875,-0.1604299363057319904868336379877291619777679443359375,-0.13861229650703299487446429338888265192508697509765625,-0.32568807339449501458972235923283733427524566650390625,0.012021432496794000333029117655314621515572071075439453125,0.457000000000000017319479184152442030608654022216796875,292.48000000000001818989403545856475830078125,8041.5754923413596770842559635639190673828125,11925.6017505470008472912013530731201171875,12.56496170678340007498263730667531490325927734375,18.63375273522979824747380916960537433624267578125,0.80081632653061196602806148803210817277431488037109375,0.026394557823129001505879642763829906471073627471923828125,0.00843537414966000036187221411410064320079982280731201171875,0.135510204081633001127471516156219877302646636962890625,0.028799999999999999211741652516138856299221515655517578125,0.01400000000000000029143354396410359186120331287384033203125,0.0213999999999999988842258602517176768742501735687255859375,0.3165999999999999925393012745189480483531951904296875,0.1852999999999999924948923535339417867362499237060546875,0.316900000000000015010215292932116426527500152587890625,0.121499999999999996891375531049561686813831329345703125,0.038399999999999996636024235385775682516396045684814453125
36,Glen Hazel,9,3915,5575,4135,1523,607,793,805,716,-0.63168077388149901363334492998546920716762542724609375,-0.601444517399869038598581028054468333721160888671875,0.30642504118616198383051596465520560741424560546875,0.01513240857503199941758165181227013817988336086273193359375,-0.1105590062111800053745724881082423962652683258056640625,0.002342134875565999967139685367101265001110732555389404296875,0.456000000000000016431300764452316798269748687744140625,291.83999999999997498889570124447345733642578125,1570.17543859649003934464417397975921630859375,1765.3508771929800786892883479595184326171875,2.453399122807020216185946992482058703899383544921875,2.758360745614030218320067433523945510387420654296875,0.68156424581005603524630487299873493611812591552734375,0,0.01256983240223500004895118564718359266407787799835205078125,0.290502793296089023566963760458747856318950653076171875,0.0154000000000000004940492459581946604885160923004150390625,0.01000000000000000020816681711721685132943093776702880859375,0.060900000000000002742250870824136654846370220184326171875,0.200000000000000011102230246251565404236316680908203125,0.078100000000000002753353101070388220250606536865234375,0.2436999999999999999555910790149937383830547332763671875,0.12189999999999999447108933736672042869031429290771484375,0.29539999999999999591437926937942393124103546142578125
37,Greenfield,9,14111,13952,12984,12234,9873,8485,7832,7294,-0.057763401109056998483648470710249966941773891448974609375,-0.1929867582148110105588756368888425640761852264404296875,-0.1405854350248149919888618342156405560672283172607421875,-0.076959340011786003810101419730926863849163055419921875,-0.06869254341164500454741670409930520690977573394775390625,0.023859681260304001215732938590008416213095188140869140625,0.77300000000000002042810365310288034379482269287109375,494.720000000000027284841053187847137451171875,9435.963777490300344652496278285980224609375,10131.953428201799397356808185577392578125,14.743693402328599262318675755523145198822021484375,15.8311772315653005449576085084117949008941650390625,0.04387167534960199899440880244583240710198879241943359375,0.04277488346586200140819755688426084816455841064453125,0.00891143405538800080500916322989723994396626949310302734375,0.8829174664107479753027973856660537421703338623046875,0.021499999999999998279154311831007362343370914459228515625,0.0290000000000000014710455076283324160613119602203369140625,0.044699999999999996680433156370781944133341312408447265625,0.127599999999999991207033644968760199844837188720703125,0.307900000000000007016609515630989335477352142333984375,0.308900000000000007904787935331114567816257476806640625,0.134599999999999997424282582869636826217174530029296875,0.0763000000000000067057470687359455041587352752685546875
38,Hays,8,2238,1897,1556,955,679,537,457,362,-0.38624678663239098153070472108083777129650115966796875,-0.2890052356020940127478979775332845747470855712890625,-0.2091310751104570042624430925570777617394924163818359375,-0.148975791433892001958128048499929718673229217529296875,-0.20787746170678300661194271015119738876819610595703125,0.0011841519901600000390373690350998003850691020488739013671875,1.75,1120,206.8571428571430033116484992206096649169921875,261.1428571428569966883515007793903350830078125,0.32321428571428600928783225754159502685070037841796875,0.408035714285714001814397988709970377385616302490234375,0.07182320441988999937255044869743869639933109283447265625,0.0165745856353590008402942856946538086049258708953857421875,0,0.8784530386740330154538014539866708219051361083984375,0.033099999999999997479793734100894653238356113433837890625,0.035999999999999997279953589668366475962102413177490234375,0.2018000000000000071498362785860081203281879425048828125,0.06060000000000000108801856413265340961515903472900390625,0.1650999999999999967581487680945429019629955291748046875,0.280700000000000005062616992290713824331760406494140625,0.1358000000000000040412118096355698071420192718505859375,0.1559999999999999997779553950749686919152736663818359375
39,Hazelwood,9,11571,12371,12757,9937,7968,6456,5334,4317,-0.2210551070000779938506951793897314928472042083740234375,-0.19814833450739699483023059656261466443538665771484375,-0.189759036144578008276084801764227449893951416015625,-0.17379182156133798908825838225311599671840667724609375,-0.1906636670416199941247015203771297819912433624267578125,0.01412150315337700086371075514080075663514435291290283203125,1.5829999999999999626965063725947402417659759521484375,1013.1200000000000045474735088646411895751953125,2727.1004421983598149381577968597412109375,3369.5514845230600258219055831432342529296875,4.26109444093493028304919789661653339862823486328125,5.2649241945672802245326238335110247135162353515625,0.4102385916145470101668024653918109834194183349609375,0.0152883947185550005121168481991844600997865200042724609375,0.005791058605512999953035535583012460847385227680206298828125,0.54343293954134797019150937558151781558990478515625,0.02520000000000000017763568394002504646778106689453125,0.0200000000000000004163336342344337026588618755340576171875,0.044900000000000002409183963436589692719280719757080078125,0.201000000000000011990408665951690636575222015380859375,0.1575000000000000011102230246251565404236316680908203125,0.35799999999999998490096686509787105023860931396484375,0.14410000000000000586197757002082653343677520751953125,0.0945000000000000006661338147750939242541790008544921875
40,Highland Park,12,8960,10239,9805,9223,8032,7029,6749,6395,-0.059357470678224999449668075612862594425678253173828125,-0.129133687520329998310586461229831911623477935791015625,-0.12487549800796800270052955283972551114857196807861328125,-0.0398349694124340014678153920613112859427928924560546875,-0.052452215142984003060089293057899340055882930755615234375,0.02091892811346900138413928971203858964145183563232421875,1.1630000000000000337507799486047588288784027099609375,744.3200000000000500222085975110530853271484375,5498.71023215820969198830425739288330078125,5803.0954428202903727651573717594146728515625,8.5917347377472008673748860019259154796600341796875,9.067336629406700154731879592873156070709228515625,0.263330727130570985128343863834743387997150421142578125,0.034089132134479997737752654529685969464480876922607421875,0.01094605160281499935115423483011909411288797855377197265625,0.66505082095387002549813360019470565021038055419921875,0.02659999999999999864552790995730902068316936492919921875,0.0290000000000000014710455076283324160613119602203369140625,0.068000000000000004884981308350688777863979339599609375,0.1176999999999999990674126593148685060441493988037109375,0.26410000000000000142108547152020037174224853515625,0.386400000000000021227464230832993052899837493896484375,0.11179999999999999660271754464702098630368709564208984375,0.051900000000000001687538997430237941443920135498046875
41,Homewood North,11,13599,13316,11775,8645,7057,5331,4522,3280,-0.265817409766454015862535698033752851188182830810546875,-0.183689994216309993024793811855488456785678863525390625,-0.244579849794530013173954330341075547039508819580078125,-0.151753892327893991076592783429077826440334320068359375,-0.274657231313577998577102334820665419101715087890625,0.01072933294952000023159133235139961470849812030792236328125,0.433999999999999996891375531049561686813831329345703125,277.759999999999990905052982270717620849609375,7557.6036866359399937209673225879669189453125,10419.35483870969983399845659732818603515625,11.8087557603686992280245249276049435138702392578125,16.2802419354839003062807023525238037109375,0.93292682926829295642079387107514776289463043212890625,0.0021341463414630001960148319994914345443248748779296875,0.015853658536584998295371207177595351822674274444580078125,0.0207317073170729983255800021879622363485395908355712890625,0.028400000000000001632027846198980114422738552093505859375,0.0189999999999999995281552145343084703199565410614013671875,0.08989999999999999380495552259162650443613529205322265625,0.259699999999999986410870178588083945214748382568359375,0.139500000000000012878587085651815868914127349853515625,0.345399999999999984812149023127858527004718780517578125,0.10169999999999999873434575192732154391705989837646484375,0.06389999999999999846789222601728397421538829803466796875
42,Homewood South,11,13022,12610,22463,8876,6228,4811,3647,2344,-0.60486132751636001447792523322277702391147613525390625,-0.298332582244254018721818511039600707590579986572265625,-0.227520873474631013522184730391018092632293701171875,-0.241945541467469993346384171672980301082134246826171875,-0.357279956128325026920578011413454078137874603271484375,0.00766754769319299978036497122957371175289154052734375,0.39800000000000002042810365310288034379482269287109375,254.719999999999998863131622783839702606201171875,5889.447236180900290491990745067596435546875,9163.31658291456915321759879589080810546875,9.2022613065326606118787822197191417217254638671875,14.317682160804000801590518676675856113433837890625,0.9470989761092150072130380067392252385616302490234375,0.002986348122867000208502386016107266186736524105072021484375,0.0081058020477819993365731221501846448518335819244384765625,0.019624573378840000359435435939303715713322162628173828125,0.0222000000000000009825473767932635382749140262603759765625,0.00899999999999999931998839741709161899052560329437255859375,0.10119999999999999829025654207725892774760723114013671875,0.1290999999999999925393012745189480483531951904296875,0.1116000000000000047517545453956699930131435394287109375,0.319299999999999972732922515206155367195606231689453125,0.185400000000000009237055564881302416324615478515625,0.1532999999999999918287585387588478624820709228515625
43,Homewood West,11,4369,4309,3733,2745,1873,1369,1114,818,-0.264666488079292994139990469193435274064540863037109375,-0.317668488160291972999260678989230655133724212646484375,-0.269087026161238973553935238669509999454021453857421875,-0.1862673484295110093444947096941177733242511749267578125,-0.2657091561938960122546404818422161042690277099609375,0.002675790961190999996122119597430355497635900974273681640625,0.199000000000000010214051826551440171897411346435546875,127.3599999999999994315658113919198513031005859375,4110.552763819099709508009254932403564453125,5597.989949748740400536917150020599365234375,6.42273869346734027629963748040609061717987060546875,8.7468592964824107838239797274582087993621826171875,0.95599022004889999681864765079808421432971954345703125,0.00122249388753099992588335709342572954483330249786376953125,0.00488997555012199956736562711512306123040616512298583984375,0.02322738386308099978183605571757652796804904937744140625,0.01469999999999999952537965697274557896889746189117431640625,0.00899999999999999931998839741709161899052560329437255859375,0.054499999999999999833466546306226518936455249786376953125,0.248400000000000009681144774731365032494068145751953125,0.12310000000000000108801856413265340961515903472900390625,0.249499999999999999555910790149937383830547332763671875,0.2003999999999999948041562447542673908174037933349609375,0.1242000000000000048405723873656825162470340728759765625
